date(year)	ssMean	ssStd	aaMean(nT)	aaStd(nT)
1.905623000000000047e+03	9.809999999999999432e+01	8.800000000000000711e+00	1.679838709677419217e+01	1.633839720428520792e+01
1.905707000000000107e+03	9.179999999999999716e+01	8.500000000000000000e+00	1.633749999999999858e+01	1.519150838736342557e+01
1.905789999999999964e+03	1.311999999999999886e+02	1.019999999999999929e+01	1.121774193548387011e+01	9.987137279029306924e+00
1.905874000000000024e+03	1.786999999999999886e+02	1.190000000000000036e+01	2.007499999999999929e+01	3.106972333853865464e+01
1.905958000000000084e+03	9.250000000000000000e+01	8.599999999999999645e+00	1.070161290322580605e+01	1.120086390584462244e+01
1.906041999999999916e+03	7.579999999999999716e+01	7.799999999999999822e+00	7.633064516129032029e+00	7.803434125891497430e+00
1.906123000000000047e+03	5.229999999999999716e+01	6.500000000000000000e+00	1.749553571428571530e+01	1.679976556167662594e+01
1.906203999999999951e+03	1.074000000000000057e+02	9.199999999999999289e+00	1.397177419354838790e+01	1.194692604871761965e+01
1.906288000000000011e+03	9.220000000000000284e+01	8.599999999999999645e+00	1.157916666666666750e+01	1.121466596198428434e+01
1.906371000000000095e+03	9.620000000000000284e+01	8.699999999999999289e+00	1.137500000000000000e+01	1.335859711704353536e+01
1.906454999999999927e+03	1.052999999999999972e+02	9.199999999999999289e+00	1.131666666666666643e+01	1.187362857577899611e+01
1.906538000000000011e+03	1.726999999999999886e+02	1.169999999999999929e+01	1.242741935483870996e+01	1.263135715839161932e+01
1.906623000000000047e+03	7.959999999999999432e+01	8.000000000000000000e+00	1.195161290322580605e+01	1.390512486094760725e+01
1.906707000000000107e+03	9.350000000000000000e+01	8.599999999999999645e+00	1.416666666666666607e+01	1.546169101000563018e+01
1.906789999999999964e+03	2.969999999999999929e+01	4.900000000000000355e+00	1.266532258064516192e+01	1.179516401966417938e+01
1.906874000000000024e+03	6.479999999999999716e+01	7.200000000000000178e+00	9.604166666666666075e+00	9.434289372932241236e+00
1.906958000000000084e+03	1.080000000000000000e+02	9.300000000000000711e+00	1.643951612903225978e+01	2.156246484260205420e+01
1.907041999999999916e+03	1.274000000000000057e+02	1.009999999999999964e+01	1.649596774193548399e+01	2.001632357720434641e+01
1.907123000000000047e+03	1.803000000000000114e+02	1.200000000000000000e+01	2.533035714285714235e+01	4.021824132886388270e+01
1.907203999999999951e+03	1.010999999999999943e+02	9.000000000000000000e+00	1.430241935483870996e+01	2.043659732626139558e+01
1.907288000000000011e+03	8.759999999999999432e+01	8.400000000000000355e+00	1.212916666666666643e+01	1.199253167484756766e+01
1.907371000000000095e+03	7.140000000000000568e+01	7.500000000000000000e+00	1.679032258064516014e+01	1.560617857046884716e+01
1.907454999999999927e+03	6.720000000000000284e+01	7.299999999999999822e+00	1.484999999999999964e+01	1.323924091479568332e+01
1.907538000000000011e+03	8.290000000000000568e+01	8.099999999999999645e+00	1.692741935483870819e+01	1.866304498679088297e+01
1.907623000000000047e+03	9.050000000000000000e+01	8.500000000000000000e+00	1.545161290322580605e+01	1.270119046916575734e+01
1.907707000000000107e+03	1.416999999999999886e+02	1.059999999999999964e+01	1.676249999999999929e+01	1.824434415784793018e+01
1.907789999999999964e+03	1.090999999999999943e+02	9.300000000000000711e+00	1.846774193548387188e+01	2.020377459299054834e+01
1.907874000000000024e+03	1.025000000000000000e+02	9.000000000000000000e+00	1.455416666666666714e+01	1.606747437025772740e+01
1.907958000000000084e+03	7.890000000000000568e+01	7.900000000000000355e+00	1.154838709677419395e+01	1.118420173129424278e+01
1.908041999999999916e+03	6.540000000000000568e+01	7.200000000000000178e+00	1.363306451612903203e+01	1.222266681854365267e+01
1.908124000000000024e+03	5.660000000000000142e+01	6.700000000000000178e+00	1.699137931034482918e+01	1.647594677811973440e+01
1.908205999999999904e+03	4.789999999999999858e+01	6.200000000000000178e+00	2.318951612903225978e+01	2.307334839630958001e+01
1.908289999999999964e+03	9.609999999999999432e+01	8.699999999999999289e+00	1.562916666666666643e+01	1.489043258736592001e+01
1.908373000000000047e+03	6.800000000000000000e+01	7.400000000000000355e+00	1.892741935483870819e+01	1.698299594903051002e+01
1.908455999999999904e+03	8.020000000000000284e+01	8.000000000000000000e+00	1.255000000000000071e+01	1.165965265348843971e+01
1.908539999999999964e+03	6.579999999999999716e+01	7.200000000000000178e+00	1.037903225806451601e+01	1.296993592016371366e+01
1.908624000000000024e+03	1.509000000000000057e+02	1.100000000000000000e+01	1.817741935483870819e+01	2.181171200151526079e+01
1.908708000000000084e+03	1.449000000000000057e+02	1.069999999999999929e+01	3.162916666666666643e+01	5.274522078797492952e+01
1.908790999999999940e+03	5.389999999999999858e+01	6.599999999999999645e+00	1.578225806451612989e+01	1.863834950634040410e+01
1.908874000000000024e+03	7.590000000000000568e+01	7.799999999999999822e+00	1.743750000000000000e+01	2.140025919819664324e+01
1.908958000000000084e+03	6.590000000000000568e+01	7.200000000000000178e+00	1.144354838709677402e+01	1.419893363746753501e+01
1.909041999999999916e+03	9.459999999999999432e+01	8.699999999999999289e+00	2.481451612903225978e+01	3.557644357814724856e+01
1.909123000000000047e+03	7.759999999999999432e+01	7.900000000000000355e+00	1.704464285714285765e+01	1.828147403054774855e+01
1.909203999999999951e+03	1.105000000000000000e+02	9.400000000000000355e+00	1.976209677419354804e+01	2.226444472313074030e+01
1.909288000000000011e+03	5.370000000000000284e+01	6.500000000000000000e+00	1.214583333333333393e+01	1.236997302498630624e+01
1.909371000000000095e+03	6.000000000000000000e+01	6.900000000000000355e+00	1.833467741935483986e+01	3.264009641914037729e+01
1.909454999999999927e+03	3.779999999999999716e+01	5.500000000000000000e+00	1.149583333333333357e+01	1.128605257115564342e+01
1.909538000000000011e+03	5.960000000000000142e+01	6.900000000000000355e+00	1.256048387096774199e+01	1.062314362187719574e+01
1.909623000000000047e+03	3.850000000000000000e+01	5.500000000000000000e+00	1.761290322580645196e+01	1.672799935853124964e+01
1.909707000000000107e+03	6.470000000000000284e+01	7.200000000000000178e+00	2.763749999999999929e+01	7.914610599233546395e+01
1.909789999999999964e+03	9.740000000000000568e+01	8.800000000000000711e+00	1.939112903225806406e+01	2.518072263207855954e+01
1.909874000000000024e+03	9.300000000000000000e+01	8.599999999999999645e+00	1.162916666666666643e+01	1.290832997094856083e+01
1.909958000000000084e+03	9.020000000000000284e+01	8.500000000000000000e+00	1.384274193548387011e+01	1.476985636348298492e+01
1.910041999999999916e+03	4.400000000000000000e+01	5.900000000000000355e+00	1.281451612903225801e+01	1.470015741384001018e+01
1.910123000000000047e+03	5.250000000000000000e+01	6.500000000000000000e+00	1.460267857142857117e+01	1.498505779471568822e+01
1.910203999999999951e+03	3.570000000000000284e+01	5.299999999999999822e+00	2.089516129032258007e+01	2.804139179866512066e+01
1.910288000000000011e+03	1.409999999999999964e+01	3.500000000000000000e+00	1.975000000000000000e+01	2.152314645523124526e+01
1.910371000000000095e+03	3.689999999999999858e+01	5.400000000000000355e+00	1.724596774193548399e+01	1.486009974347602380e+01
1.910454999999999927e+03	2.050000000000000000e+01	4.099999999999999645e+00	1.374583333333333357e+01	1.832069592852726458e+01
1.910538000000000011e+03	2.350000000000000000e+01	4.400000000000000355e+00	1.077419354838709609e+01	1.187830681270409805e+01
1.910623000000000047e+03	1.930000000000000071e+01	4.099999999999999645e+00	2.023790322580645196e+01	2.080196211566597597e+01
1.910707000000000107e+03	4.370000000000000284e+01	5.900000000000000355e+00	1.923750000000000071e+01	2.123866977355220342e+01
1.910789999999999964e+03	6.389999999999999858e+01	7.099999999999999645e+00	2.436693548387096797e+01	2.210108821497620823e+01
1.910874000000000024e+03	8.300000000000000711e+00	3.000000000000000000e+00	1.789166666666666572e+01	1.647816526666593617e+01
1.910958000000000084e+03	9.599999999999999645e+00	3.100000000000000089e+00	1.952419354838709609e+01	1.629761693923448718e+01
