BJD	RV	RVerr	BIS	BISerr	FWHM	FWHMerr
5.728296885000000475e+04	1.053327802897337762e+02	3.059956426705016663e-01	-2.078666666666666529e+01	6.119912853410033327e-01	7.050807158106709721e+03	7.190897602756790574e-01
5.728594498533333535e+04	1.031143970894302271e+02	2.367136103677465464e-01	-2.058333333333333215e+01	4.734272207354930928e-01	7.050639311842530333e+03	5.562769843642044743e-01
5.728693262566666817e+04	1.027034480188871868e+02	2.367136103677465464e-01	-2.006333333333333613e+01	4.734272207354930928e-01	7.050847334750523260e+03	5.562769843642044743e-01
5.728885869733333675e+04	1.072817026976101289e+02	2.482606157515390988e-01	-2.054333333333333300e+01	4.965212315030781975e-01	7.051893478168208276e+03	5.834124470161168308e-01
5.729187930366666842e+04	1.051769571061365269e+02	2.424871130596428503e-01	-2.021000000000000085e+01	4.849742261192857007e-01	7.052544247281402932e+03	5.698447156901605970e-01
5.729292087199999514e+04	1.058722264866762117e+02	2.424871130596428503e-01	-1.785666666666666558e+01	4.849742261192857007e-01	7.053841254702364495e+03	5.698447156901605970e-01
5.729391987833333405e+04	1.037756084742166678e+02	2.367136103677465464e-01	-1.792999999999999972e+01	4.734272207354930928e-01	7.054408358256325300e+03	5.562769843642044743e-01
5.729489517299999716e+04	1.040110328608156323e+02	2.424871130596428503e-01	-1.841999999999999815e+01	4.849742261192857007e-01	7.053205434656821126e+03	5.698447156901605970e-01
5.730106448833333707e+04	1.011343430449162639e+02	2.424871130596428503e-01	-2.120333333333333314e+01	4.849742261192857007e-01	7.047524106816395033e+03	5.698447156901605970e-01
5.730215357966666488e+04	1.010904899814681386e+02	2.367136103677465464e-01	-2.158333333333333215e+01	4.734272207354930928e-01	7.047383813823814307e+03	5.562769843642044743e-01
5.730301812600000267e+04	1.002642112739573008e+02	2.367136103677465464e-01	-2.157666666666666799e+01	4.734272207354930928e-01	7.047651450960999682e+03	5.562769843642044743e-01
5.730407613266666885e+04	1.001788797688861763e+02	2.367136103677465464e-01	-2.184000000000000341e+01	4.734272207354930928e-01	7.048108826468512234e+03	5.562769843642044743e-01
5.730694068199999310e+04	1.025125101902079763e+02	2.367136103677465464e-01	-2.185999999999999943e+01	4.734272207354930928e-01	7.047128106735479378e+03	5.562769843642044743e-01
5.731687245433333010e+04	1.089351979169493916e+02	2.367136103677465464e-01	-1.833000000000000185e+01	4.734272207354930928e-01	7.051986244555101621e+03	5.562769843642044743e-01
5.732191289899999538e+04	1.040328870330063609e+02	2.367136103677465464e-01	-1.597333333333333449e+01	4.734272207354930928e-01	7.050213751512667841e+03	5.562769843642044743e-01
5.732393366966666508e+04	1.019257426861319829e+02	2.367136103677465464e-01	-1.807000000000000028e+01	4.734272207354930928e-01	7.046107899965883007e+03	5.562769843642044743e-01
5.732497604066666099e+04	1.003292315663095593e+02	2.367136103677465464e-01	-1.948000000000000043e+01	4.734272207354930928e-01	7.046744664665893652e+03	5.562769843642044743e-01
5.732595564066667430e+04	1.000458492297511697e+02	2.367136103677465464e-01	-2.026333333333333186e+01	4.734272207354930928e-01	7.047139800696316343e+03	5.562769843642044743e-01
5.732790873033332900e+04	1.023666321310572442e+02	2.367136103677465464e-01	-2.021666666666666501e+01	4.734272207354930928e-01	7.048805742982955962e+03	5.562769843642044743e-01
5.732891088066666998e+04	1.030199589843721668e+02	2.367136103677465464e-01	-2.140666666666666629e+01	4.734272207354930928e-01	7.049684384674407738e+03	5.562769843642044743e-01
5.732992499133333331e+04	1.054830508610683779e+02	2.367136103677465464e-01	-2.050000000000000000e+01	4.734272207354930928e-01	7.049923650769749656e+03	5.562769843642044743e-01
5.733093284000000131e+04	1.033146419503507758e+02	2.367136103677465464e-01	-1.998000000000000043e+01	4.734272207354930928e-01	7.050210301845087088e+03	5.562769843642044743e-01
5.733196012933333259e+04	1.011966799769393077e+02	2.367136103677465464e-01	-1.860333333333333528e+01	4.734272207354930928e-01	7.051358080027985125e+03	5.562769843642044743e-01
5.733304647766667040e+04	1.023673339758386902e+02	2.367136103677465464e-01	-1.801999999999999957e+01	4.734272207354930928e-01	7.049396591269985947e+03	5.562769843642044743e-01
5.733399095433333423e+04	1.029092840884296862e+02	2.367136103677465464e-01	-1.901666666666666927e+01	4.734272207354930928e-01	7.047479429858485673e+03	5.562769843642044743e-01
5.733492696266667190e+04	1.022176472670845442e+02	2.367136103677465464e-01	-2.085999999999999943e+01	4.734272207354930928e-01	7.046686620103719179e+03	5.562769843642044743e-01
5.733700082766666310e+04	1.001488712291916841e+02	2.367136103677465464e-01	-2.048999999999999844e+01	4.734272207354930928e-01	7.048513972804077639e+03	5.562769843642044743e-01
5.733889035999999760e+04	1.039360422826168389e+02	2.482606157515390988e-01	-1.993666666666666742e+01	4.965212315030781975e-01	7.050798632701774295e+03	5.834124470161168308e-01
5.734104843799999799e+04	1.029459631702599722e+02	2.463511495586917233e-01	-1.907666666666666799e+01	4.927022991173834465e-01	7.052210380212792188e+03	5.789252014629254761e-01
5.734215869033333001e+04	1.026730290648910255e+02	2.424871130596428503e-01	-1.951000000000000156e+01	4.849742261192857007e-01	7.049674575005662518e+03	5.698447156901605970e-01
5.734500737899999513e+04	1.052172118884633392e+02	2.367136103677465464e-01	-1.779333333333333655e+01	4.734272207354930928e-01	7.050068768790440117e+03	5.562769843642044743e-01
5.734705961199999001e+04	1.031963617729565357e+02	2.367136103677465464e-01	-1.761333333333333329e+01	4.734272207354930928e-01	7.050618040167996696e+03	5.562769843642044743e-01
5.734790724833332933e+04	1.028594881792293592e+02	2.424871130596428503e-01	-1.789000000000000057e+01	4.849742261192857007e-01	7.051032693424552235e+03	5.698447156901605970e-01
5.734999022200000036e+04	1.038983513905409808e+02	2.367136103677465464e-01	-1.857333333333333414e+01	4.734272207354930928e-01	7.047812145950520062e+03	5.562769843642044743e-01
5.735114901966666366e+04	1.039747753818819689e+02	2.367136103677465464e-01	-1.968666666666666742e+01	4.734272207354930928e-01	7.048616138365704501e+03	5.562769843642044743e-01
5.735212157866667258e+04	1.092886989281575438e+02	2.367136103677465464e-01	-2.000000000000000000e+01	4.734272207354930928e-01	7.048935712460905961e+03	5.562769843642044743e-01
5.735299876399999630e+04	1.035168029787352140e+02	2.944486372867091695e-01	-1.999333333333333229e+01	5.888972745734183389e-01	7.048148817405698537e+03	6.919542976237664789e-01
5.736091849533332424e+04	1.013310494447799215e+02	2.367136103677465464e-01	-2.105333333333333456e+01	4.734272207354930928e-01	7.048581048109896074e+03	5.562769843642044743e-01
5.736798078266667289e+04	1.041905794782231709e+02	2.367136103677465464e-01	-1.946666666666666501e+01	4.734272207354930928e-01	7.052988986863493665e+03	5.562769843642044743e-01
5.736910803699999815e+04	1.050093219818584203e+02	2.367136103677465464e-01	-1.883000000000000185e+01	4.734272207354930928e-01	7.052066798076372834e+03	5.562769843642044743e-01
5.737192869966666331e+04	1.049453633217850523e+02	2.367136103677465464e-01	-1.952333333333333698e+01	4.734272207354930928e-01	7.050959166877368261e+03	5.562769843642044743e-01
5.737893825000000652e+04	1.019428918822857213e+02	2.367136103677465464e-01	-1.966666666666666430e+01	4.734272207354930928e-01	7.051958535025322817e+03	5.562769843642044743e-01
