aa_mean	aa_std
1.424553571428571352e+01	1.564869568043051018e+01
2.062500000000000000e+01	1.959263820352413887e+01
2.252916666666666501e+01	2.183515855920344606e+01
2.369758064516129181e+01	3.042960666667674019e+01
1.173750000000000071e+01	1.338289681210063442e+01
1.122983870967741993e+01	1.280339848935474123e+01
1.504838709677419395e+01	1.509451664951263616e+01
2.233749999999999858e+01	2.247977447432840137e+01
2.072177419354838790e+01	1.698953691523617593e+01
1.652499999999999858e+01	1.801733540232850217e+01
1.621370967741935587e+01	1.729833963073418346e+01
1.950806451612903203e+01	2.118828646565541263e+01
3.513793103448276156e+01	5.723287223864357287e+01
3.630645161290322420e+01	4.176483267893301843e+01
2.041250000000000142e+01	3.014397137765140045e+01
2.509677419354838790e+01	3.520857651996050919e+01
1.771666666666666501e+01	2.891198809413761950e+01
3.372580645161290391e+01	4.864218246205875573e+01
2.212096774193548399e+01	4.290520171899144231e+01
2.014999999999999858e+01	1.925623275721396155e+01
2.305241935483870819e+01	2.070884166676108862e+01
1.568750000000000000e+01	1.903588305674312409e+01
2.214112903225806406e+01	2.501919106018280914e+01
1.823790322580645196e+01	1.664609850996737350e+01
1.910267857142857295e+01	1.835058368000003881e+01
1.838709677419354804e+01	2.280658849253991605e+01
1.401666666666666750e+01	1.428984682290969133e+01
1.202822580645161210e+01	1.146115501472657350e+01
1.707916666666666572e+01	1.756410826958076754e+01
1.454032258064516192e+01	1.575103641932931708e+01
1.845161290322580783e+01	2.458210562082471284e+01
1.951249999999999929e+01	1.680178096958771761e+01
2.088306451612903203e+01	1.570848456672172055e+01
1.851249999999999929e+01	2.038606167008887127e+01
1.394758064516129004e+01	1.448418472161785076e+01
1.915725806451612812e+01	2.926718318930997853e+01
3.391964285714285410e+01	4.788381369688679001e+01
1.997177419354838790e+01	2.568691790953026910e+01
1.742083333333333428e+01	1.796831654066556183e+01
1.898790322580645196e+01	1.506985932647239501e+01
1.997500000000000142e+01	1.901905294697924731e+01
2.625806451612903203e+01	4.968641518884632546e+01
2.098387096774193594e+01	4.707611953184861875e+01
2.254166666666666785e+01	2.614794314196731406e+01
1.703629032258064413e+01	1.552348291209689890e+01
2.193333333333333357e+01	2.715119191163110202e+01
1.201612903225806406e+01	1.270095492407364901e+01
1.539112903225806406e+01	1.527266434335021295e+01
2.083928571428571530e+01	2.011309699967579334e+01
2.297983870967741993e+01	2.040802530251712099e+01
2.072916666666666785e+01	1.876781329756405725e+01
1.655645161290322420e+01	1.647789448818591396e+01
1.757499999999999929e+01	1.669264433815085980e+01
1.787500000000000000e+01	1.470724050891589840e+01
1.045564516129032206e+01	1.092635023337969713e+01
1.592500000000000071e+01	1.780714393157981945e+01
2.269354838709677580e+01	2.150587969841032532e+01
